# CGK-A couplings (0.1,0.4,1.0); Lellouch-Luscher factorization test, 5 volumes
# source: data/factorization_cgkA.npz (scripts/factorization.py)
# F2 = residue * rho(delta); near-threshold branch collapses to 0.1302 +- 3.6%
E,residue,rho,F2,ns
1.8265,4.6810e-02,2.8364,0.1328,12
2.1667,5.4243e-02,1.9625,0.1065,12
1.7954,3.5728e-02,3.6767,0.1314,14
2.1022,7.3505e-02,2.3476,0.1726,14
1.7751,2.7395e-02,4.7482,0.1301,16
2.0454,8.1935e-02,2.7954,0.2290,16
1.7615,2.1321e-02,6.0488,0.1290,18
1.9958,8.1460e-02,3.3107,0.2697,18
2.2324,4.1431e-02,2.9279,0.1213,18
1.7521,1.6897e-02,7.5781,0.1280,20
1.9534,7.6146e-02,3.8926,0.2964,20
2.1756,6.2837e-02,3.2647,0.2051,20
