# m0=0.7, g2=1.1, eta=1.3; elastic MM phase shifts, parity-verified, 7 volumes ns=8..20
# source: data/phase_shifts_6vol.npz (scripts/phase_shifts_v2.py)
# 2M = 5.4902, MM' threshold = 6.0304 (inverted band-2, min_p[E1+E2])
ns,E2,p,n,delta_rad
8,5.6932,1.4965,0,+0.1486
10,5.5920,1.0299,0,+0.5667
12,5.5498,0.7766,0,+0.8116
12,5.8961,2.2472,1,-0.4585
14,5.5291,0.6213,0,+0.9670
14,5.7808,1.8258,1,-0.1072
16,5.5175,0.5172,0,+1.0727
16,5.7051,1.5437,1,+0.1085
16,5.9752,2.5077,2,-0.6062
18,5.5104,0.4429,0,+1.1485
18,5.6542,1.3318,1,+0.2899
18,5.8798,2.1869,2,-0.4164
20,5.5057,0.3873,0,+1.2050
20,5.6190,1.1682,1,+0.4421
20,5.8067,1.9191,2,-0.1710
20,6.0172,2.6211,3,-0.5392
